id,name,coordinate_status,booth_location,candidate_longitude,candidate_latitude,anchor_kind,anchor,constraint_distance_m,secondary_named_anchor,secondary_named_distance_m,secondary_identity_anchor,secondary_identity_match_class,secondary_identity_distance_m,secondary_identity_url,location_check,publication_decision
2770.1,All You Can Drink Milk,verified,Northeast corner of Judson Ave. & Clough St.,-93.1733688,44.9786946,street_corner,Judson Avenue & Clough Street,20.5,,,All You Can Drink Milk,exact_named_place,1.0,https://www.openstreetmap.org/way/177770097,manual_review_15_to_30m,retain_verified
1328.1,The Anchor Coffee House,approximate,West side of Underwood St. between Dan Patch & Carnes avenues,-93.1707088862,44.9798917,street_segment,Underwood Street between Dan Patch Avenue and Carnes Avenue,13.0,,,Haunted House,no_named_place_match,171.7,https://www.openstreetmap.org/way/159605549,consistent_with_written_location,manual_evidence_required
1872.1,Andy's Grille,verified,South side of Carnes Ave. between Chambers & Nelson streets,-93.1743171,44.979745,street_segment,Carnes Avenue between Chambers Street and Nelson Street,14.2,,,Andy's Grille,exact_named_place,12.3,https://www.openstreetmap.org/node/12136098524,consistent_with_written_location,retain_verified
5937.1,Attavio's Fries,approximate,"West side of Cooper St. between Dan Patch and Judson avenues, outside the Food Building",-93.170450184,44.9805211,street_segment,Cooper Street between Dan Patch Avenue and Judson Avenue,108.2,Food Building,10.3,,no_named_place_match,,,manual_review_conflicting_constraints,manual_evidence_required
5177.1,Auntie M's Gluten Free,approximate,"South side of Judson Ave. between Nelson & Underwood streets, just west of Adventure Park",-93.1722657289,44.9785114612,street_segment,Judson Avenue between Nelson Street and Underwood Street,12.7,Adventure Park,244.0,,no_named_place_match,,,consistent_with_written_location,manual_evidence_required
1899.1,Australian Battered Potatoes,approximate,South side of Judson Ave. between Nelson & Underwood streets,-93.1721004427,44.9785114612,street_segment,Judson Avenue between Nelson Street and Underwood Street,8.9,,,,no_named_place_match,,,consistent_with_written_location,manual_evidence_required
5146.1,BABA'S,approximate,East side of Underwood St. between Murphy & Lee avenues,-93.1702612605,44.9862244845,street_segment,Underwood Street between Murphy Avenue and Lee Avenue,15.1,,,,no_named_place_match,,,manual_review_15_to_30m,manual_evidence_required
616.1,Ball Park Cafe,approximate,East side of Underwood St. between Dan Patch & Carnes avenues,-93.1700734,44.9803924,street_segment,Underwood Street between Dan Patch Avenue and Carnes Avenue,36.4,,,Ball Park Cafe,exact_named_place,22.3,https://www.openstreetmap.org/node/7223510630,reject_over_30m,keep_withheld_priority_review
6041.1,Bandstand Concessions,approximate,Inside the Grandstand Concert Venue,-93.171914135256,44.982716512152,unparsed,,,,,,no_named_place_match,,,unparsed,manual_evidence_required
1932.1,Bayou Bob's Gator Shack,verified,Southeast corner of Dan Patch Ave. & Nelson St.,-93.171734,44.9807911,street_corner,Dan Patch Avenue & Nelson Street,27.8,,,Bayou Bob's Gator Shack,exact_named_place,0.0,https://www.openstreetmap.org/way/177770131,manual_review_15_to_30m,retain_verified
11830.1,Beans & Beignets,approximate,Northwest corner of Judson Ave. & Clough St.,-93.173685963462,44.978813280576,street_corner,Judson Avenue & Clough Street,26.1,,,Grandstand Seating,no_named_place_match,280.8,https://www.openstreetmap.org/way/773873153,manual_review_15_to_30m,manual_evidence_required
1509.4,The Big Cheese Cheese Curds,approximate,"West side of Liggett St. at Carnes Ave., just south of Mighty Midway",-93.1802250627,44.9799615,named_place_or_building,Midway Lot,29.8,,,,no_named_place_match,,,manual_review_15_to_30m,manual_evidence_required
1783.1,Big Dog Corndogs,approximate,Northeast corner of Randall Ave. & Underwood St.,-93.1703536568,44.984474232,street_corner,Randall Avenue & Underwood Street,14.1,,,Corn,ambiguous_vendor_identity,105.5,https://www.openstreetmap.org/node/12148877487,consistent_with_written_location,manual_evidence_required
1783.2,Big Dog Corndogs,approximate,West side of Underwood St. between Carnes & Judson avenues,-93.1706607419,44.9795096801,street_segment,Underwood Street between Carnes Avenue and Judson Avenue,9.0,,,Corn,ambiguous_vendor_identity,655.8,https://www.openstreetmap.org/node/12148877487,consistent_with_written_location,manual_evidence_required
1952.1,Big Fat Bacon,verified,South side of Dan Patch Ave. between Nelson & Underwood streets,-93.1708786,44.9809673,street_segment,Dan Patch Avenue between Nelson Street and Underwood Street,14.7,,,Big Fat Bacon,exact_named_place,0.0,https://www.openstreetmap.org/way/177770099,consistent_with_written_location,retain_verified
1968.1,The Blue Barn,verified,"At West End Market, south of History & Heritage Center",-93.1760875,44.9811063,named_place_or_building,History & Heritage Center,21.6,,,Blue Barn,exact_named_place,0.0,https://www.openstreetmap.org/way/177770151,manual_review_15_to_30m,retain_verified
212.1,Blue Moon Dine-In Theater,verified,Northeast corner of Carnes Ave. & Chambers St.,-93.1740994,44.9800146,street_corner,Carnes Avenue & Chambers Street,24.8,,,Blue Moon,strong_named_place,0.0,https://www.openstreetmap.org/way/177770126,manual_review_15_to_30m,retain_verified
1974.1,The Blue Ox Burger Bar,approximate,Southeast corner of Judson Ave. & Clough St.,-93.1734562568,44.978499968,street_corner,Judson Avenue & Clough Street,14.1,,,Blue Barn,no_named_place_match,347.1,https://www.openstreetmap.org/way/177770151,consistent_with_written_location,manual_evidence_required
1509.3,Bratwurst,approximate,Northwest corner of Carnes Ave. & Nelson St.,-93.1722972,44.9800237,street_corner,Carnes Avenue & Nelson Street,22.1,,,,no_named_place_match,,,manual_review_15_to_30m,manual_evidence_required
5733.5,Bridge N' Barrel Root Beer,approximate,Northwest corner of Randall & Underwood streets,-93.1706079432,44.984474232,street_corner,Randall Avenue & Underwood Street,14.1,,,,no_named_place_match,,,consistent_with_written_location,manual_evidence_required
5733.3,Bridge N' Barrel Root Beer,approximate,Northwest corner of Wright Ave. & Cooper St.,-93.1692528432,44.983338432,street_corner,Wright Avenue & Cooper Street,14.1,,,,no_named_place_match,,,consistent_with_written_location,manual_evidence_required
5733.2,Bridge N' Barrel Root Beer,approximate,Northwest corner of Carnes Ave. & Underwood St.,-93.1706802,44.9799609,street_corner,Carnes Avenue & Underwood Street,13.2,,,,no_named_place_match,,,consistent_with_written_location,manual_evidence_required
5733.4,Bridge N' Barrel Root Beer,approximate,Northwest corner of Judson Ave. & Underwood St.,-93.1706801432,44.978658032,street_corner,Judson Avenue & Underwood Street,14.1,,,,no_named_place_match,,,consistent_with_written_location,manual_evidence_required
5733.6,Bridge N' Barrel Root Beer,approximate,Northeast corner of Dan Patch Ave & Cosgrove St.,-93.1679656568,44.981216832,street_corner,Dan Patch Avenue & Cosgrove Street,14.1,,,,no_named_place_match,,,consistent_with_written_location,manual_evidence_required
5733.1,Bridge N' Barrel Root Beer,approximate,North side of Dan Patch Ave. between Nelson & Underwood streets,-93.1710891914,44.9811663029,street_segment,Dan Patch Avenue between Nelson Street and Underwood Street,9.0,,,,no_named_place_match,,,consistent_with_written_location,manual_evidence_required
1996.1,Bridgeman's Ice Cream,approximate,Northeast corner of Judson Ave. & Liggett St.,-93.1752281568,44.978658932,street_corner,Judson Avenue & Liggett Street,14.1,,,,no_named_place_match,,,consistent_with_written_location,manual_evidence_required
2005.1,Buni's,approximate,Northwest corner of Judson Ave. & Liggett St.,-93.1754824432,44.978658932,street_corner,Judson Avenue & Liggett Street,14.1,,,,no_named_place_match,,,consistent_with_written_location,manual_evidence_required
227.1,Butcher Boys,approximate,North side of Dan Patch Ave. between Nelson & Underwood streets,-93.170865162821,44.980902605354,street_segment,Dan Patch Avenue between Nelson Street and Underwood Street,22.0,,,The Lunch Box,no_named_place_match,167.3,https://www.openstreetmap.org/way/177770098,manual_review_15_to_30m,manual_evidence_required
10014.1,Butcher Boys,approximate,West side of Liggett St. between Carnes & West Dan Patch avenues,-93.175614425979,44.980217873197,street_segment,Liggett Street between Carnes Avenue and West Dan Patch Avenue,19.0,,,The Lunch Box,no_named_place_match,545.2,https://www.openstreetmap.org/way/177770098,manual_review_15_to_30m,manual_evidence_required
2021.1,Cafe Caribe,verified,South side of Carnes Ave. between Chambers & Clough streets,-93.1738652,44.9797356,street_segment,Carnes Avenue between Chambers Street and Clough Street,15.6,,,Cafe Caribe,exact_named_place,12.0,https://www.openstreetmap.org/node/12136098523,manual_review_15_to_30m,retain_verified
2029.1,Candy Factory,approximate,Northeast corner of Murphy Ave. & Cooper St.,-93.1689313568,44.987286232,street_corner,Murphy Avenue & Cooper Street,14.1,,,,no_named_place_match,,,consistent_with_written_location,manual_evidence_required
2031.1,Caramel Apple Sundae,approximate,"Between Chambers & Nelson streets, just south of the Grandstand",-93.1743413865,44.9800330569,street_corridor,Chambers Street,0.0,,,,no_named_place_match,,,consistent_with_written_location,manual_evidence_required
1887.1,"Caramel Apples, Cotton Candy, Sno Kones",approximate,South side of Randall Ave. between Underwood & Cooper streets,-93.170136053846,44.984202172662,street_segment,Randall Avenue between Underwood Street and Cooper Street,19.9,,,,no_named_place_match,,,manual_review_15_to_30m,manual_evidence_required
2037.1,Caribbean Smoothees,approximate,West side of Liggett St. between Carnes & Judson avenues,-93.1754414716,44.9798674,street_segment,Liggett Street between Carnes Avenue and Judson Avenue,5.0,,,,no_named_place_match,,,consistent_with_written_location,manual_evidence_required
12335.1,Carl's Gizmo,verified,South side of Dan Patch Ave. between Underwood & Cooper streets,-93.1692506,44.9813316,street_segment,Dan Patch Avenue between Underwood Street and Cooper Street,23.9,,,,no_named_place_match,,,manual_review_15_to_30m,retain_verified
7099.1,Carousel BBQ,approximate,West side of Chambers St. between West Dan Patch & Carnes avenues,-93.1745832207,44.9806816718,street_segment,Chambers Street between West Dan Patch Avenue and Carnes Avenue,8.9,,,Carousel,strong_named_place,131.4,https://www.openstreetmap.org/way/164878246,consistent_with_written_location,manual_evidence_required
2065.1,Chan's Chicken On A Stick,approximate,South side of Judson Ave. between Nelson & Underwood streets,-93.1721767286,44.9785426146,street_segment,Judson Avenue between Nelson Street and Underwood Street,5.9,,,Math On-A-Stick,no_named_place_match,695.5,https://www.openstreetmap.org/node/9066981317,consistent_with_written_location,manual_evidence_required
9238.1,Chan's Eatery,approximate,East side of Underwood St. between Murphy & Lee avenues,-93.1703370205,44.9868465179,street_segment,Underwood Street between Murphy Avenue and Lee Avenue,9.0,,,The Hangar,no_named_place_match,53.8,https://www.openstreetmap.org/way/164878256,consistent_with_written_location,manual_evidence_required
2067.1,Charcoal Hut,verified,"East side of Judson Ave. between Underwood & Cooper streets, next to the International Bazaar",-93.1690625,44.9785625,street_segment,Judson Avenue between Underwood Street and Cooper Street,68.1,International Bazaar,14.6,Charcoal Hut,exact_named_place,0.0,https://www.openstreetmap.org/way/177770064,manual_review_conflicting_constraints,retain_verified_with_landmark_exception_review
2075.1,Chicago Dogs,approximate,"In The Garden, east wall",-93.1702122427,44.9809236,named_place_or_building,Treasure Island | The Garden,4.0,,,,no_named_place_match,,,consistent_with_written_location,manual_evidence_required
11505.1,Chocolate Strawberry Cup,approximate,Southwest corner of Dan Patch Ave. & Cooper St.,-93.1692872432,44.981026568,street_corner,Dan Patch Avenue & Cooper Street,14.1,,,,no_named_place_match,,,consistent_with_written_location,manual_evidence_required
2084.1,CinnieSmiths,verified,South side of Murphy Ave. between Underwood & Cooper streets,-93.1693875,44.9871474,street_segment,Murphy Avenue between Underwood Street and Cooper Street,5.7,,,Kiwanis Malts,no_named_place_match,382.6,https://www.openstreetmap.org/way/773881582,consistent_with_written_location,retain_verified
216.1,Coasters,verified,Southeast corner of Carnes Ave. & Liggett St.,-93.1750531,44.9797389,street_corner,Carnes Avenue & Liggett Street,29.3,,,State Fair Corn Roast,no_named_place_match,291.7,https://www.openstreetmap.org/way/177770081,manual_review_15_to_30m,retain_verified
2112.1,Corn Roast,verified,Southeast corner of Dan Patch Ave. & Nelson St.,-93.1716163,44.9808717,street_corner,Dan Patch Avenue & Nelson Street,20.7,,,State Fair Corn Roast,exact_named_place,0.0,https://www.openstreetmap.org/way/177770081,manual_review_15_to_30m,retain_verified
3505.1,Cotton Candy 7 Different Flavors,approximate,Southeast corner of Dan Patch Ave. & Underwood St.,-93.1703990568,44.981034668,street_corner,Dan Patch Avenue & Underwood Street,14.1,,,,no_named_place_match,,,consistent_with_written_location,manual_evidence_required
2142.1,Cream Puffs,approximate,Southwest corner of West Dan Patch Ave. & Liggett St.,-93.1754916432,44.980627468,street_corner,West Dan Patch Avenue & Liggett Street,14.1,,,,no_named_place_match,,,consistent_with_written_location,manual_evidence_required
2069.2,Crutchees Cheese on a Stick,approximate,southeast corner of West Dan Patch Ave. & Liggett St.,-93.1752373568,44.980627468,street_corner,West Dan Patch Avenue & Liggett Street,14.1,,,Math On-A-Stick,no_named_place_match,673.2,https://www.openstreetmap.org/node/9066981317,consistent_with_written_location,manual_evidence_required
2069.1,Crutchees Cheese on a Stick,approximate,Northeast corner of Judson Ave. & Nelson St.,-93.1719732995,44.978682332,street_corner,Judson Avenue & Nelson Street,17.2,,,Math On-A-Stick,no_named_place_match,674.6,https://www.openstreetmap.org/node/9066981317,manual_review_15_to_30m,manual_evidence_required
244.1,The Dairy Bar,approximate,"In the Food Building, south wall",-93.1699973,44.9801218,named_place_or_building,Food Building,0.0,,,Dairy Dog,no_named_place_match,190.5,https://www.openstreetmap.org/node/11227582236,consistent_with_written_location,manual_evidence_required
2770.2,Dairy Goodness,approximate,"In the Dairy Building, south wall",-93.1709963,44.977899148,named_place_or_building,Dairy Building,0.0,,,Dairy Dog,no_named_place_match,69.1,https://www.openstreetmap.org/node/11227582236,consistent_with_written_location,manual_evidence_required
3745.1,Danielson's & Daughters Onion Rings,approximate,"Between Underwood & Cooper streets, outside south side of the Food Building",-93.1699518073,44.9799973,named_place_or_building,Food Building,6.2,,,,no_named_place_match,,,consistent_with_written_location,manual_evidence_required
2182.1,Daryl's Dog House,approximate,South side of Carnes Ave. between Nelson & Underwood streets,-93.1715561959,44.9798067782,street_segment,Carnes Avenue between Nelson Street and Underwood Street,9.0,,,Dairy Dog,no_named_place_match,157.0,https://www.openstreetmap.org/node/11227582236,consistent_with_written_location,manual_evidence_required
3340.2,Deep Fried Batter Dipped Twinkies & Buckeyes,approximate,East side of Cooper St. outside the Merch Market,-93.168578956,44.980762,named_place_or_building,Merchandise Mart,1.2,,,,no_named_place_match,,,consistent_with_written_location,manual_evidence_required
2192.1,Deep Fried Candy Bars,approximate,North side of Carnes Ave. between Nelson & Underwood streets,-93.1720944,44.9799665388,street_segment,Carnes Avenue between Nelson Street and Underwood Street,9.0,,,Sheep & Poultry Barn,no_named_place_match,156.9,https://www.openstreetmap.org/way/68169471,consistent_with_written_location,manual_evidence_required
2198.1,Demetri's Fine Greek Foods,approximate,East side of Nelson St. between Dan Patch & Carnes avenues,-93.1717027711,44.9811464,street_segment,Nelson Street between Dan Patch Avenue and Carnes Avenue,9.0,,,,no_named_place_match,,,consistent_with_written_location,manual_evidence_required
1457.1,Dino's Gyros,verified,North side of Carnes Ave. between Nelson & Underwood streets,-93.1710869,44.980113,street_segment,Carnes Avenue between Nelson Street and Underwood Street,24.8,,,Dino's Gyro's,exact_named_place,4.6,https://www.openstreetmap.org/way/1030511112,manual_review_15_to_30m,retain_verified
2208.1,Dippin' Dots,approximate,South side of Carnes Ave. between Nelson & Underwood streets,-93.1705436,44.9798107612,street_segment,Carnes Avenue between Nelson Street and Underwood Street,9.0,,,,no_named_place_match,,,consistent_with_written_location,manual_evidence_required
12663.1,dodopop,approximate,Northeast corner of Dan Patch Ave. & Cooper St.,-93.1690329568,44.981206432,street_corner,Dan Patch Avenue & Cooper Street,14.1,,,,no_named_place_match,,,consistent_with_written_location,manual_evidence_required
225.1,Donna's Bar-B-Q,verified,Southwest corner of Judson Ave. & Liggett St.,-93.1755381,44.9784136,street_corner,Judson Avenue & Liggett Street,22.5,,,,no_named_place_match,,,manual_review_15_to_30m,retain_verified
3448.1,The Donut Family,approximate,At Mighty Midway,-93.1780542927,44.9799615,named_place_or_building,Midway Lot,31.9,,,,no_named_place_match,,,reject_over_30m,keep_withheld_priority_review
265.1,Duke's Poutine,approximate,North side of Judson Ave. between Clough & Nelson streets,-93.173338053846,44.978715784173,street_segment,Judson Avenue between Clough Street and Nelson Street,14.0,,,,no_named_place_match,,,consistent_with_written_location,manual_evidence_required
10312.2,El Burrito Mercado,approximate,"At the International Bazaar, south wall",-93.1689079927,44.97799,named_place_or_building,International Bazaar,0.0,,,,no_named_place_match,,,consistent_with_written_location,manual_evidence_required
226.1,El Sol Mexican Foods,approximate,"East side of Underwood St. between Dan Patch & Carnes avenues, outside southwest corner of the Food Building",-93.170450184,44.9799973,street_corner,Underwood Street & Dan Patch Avenue,125.5,Food Building,8.2,,no_named_place_match,,,manual_review_conflicting_constraints,manual_evidence_required
3280.1,Elm's Shaved Ice,approximate,Southwest corner of Judson Ave. & Liggett St.,-93.1754824432,44.978479068,street_corner,Judson Avenue & Liggett Street,14.1,,,,no_named_place_match,,,consistent_with_written_location,manual_evidence_required
2279.1,Falafel King,approximate,"In the Food Building, south wall",-93.1698500927,44.9801137,named_place_or_building,Food Building,0.0,,,,no_named_place_match,,,consistent_with_written_location,manual_evidence_required
2305.1,Fish & Chips Seafood Shoppe,approximate,"In the Food Building, northwest section",-93.1701043677,44.9807636,named_place_or_building,Food Building,0.0,,,,no_named_place_match,,,consistent_with_written_location,manual_evidence_required
228.1,Flowering Onions,approximate,South side of Judson Ave. between Nelson & Underwood streets,-93.1715625,44.9786875,street_segment,Judson Avenue between Nelson Street and Underwood Street,11.6,,,Farmers Union,no_named_place_match,373.1,https://www.openstreetmap.org/way/177770111,consistent_with_written_location,manual_evidence_required
4752.1,Fluffy's Hand Cut Donuts,approximate,On the northwest corner of Carnes Ave. & Chambers St.,-93.1744694432,44.979962432,street_corner,Carnes Avenue & Chambers Street,14.1,,,,no_named_place_match,,,consistent_with_written_location,manual_evidence_required
2332.1,French Crêperie,approximate,North side of Carnes Ave. between Nelson & Underwood streets,-93.1720684315,44.979966641,street_segment,Carnes Avenue between Nelson Street and Underwood Street,9.0,,,Mancini's / French Crepes,no_named_place_match,17.4,https://www.openstreetmap.org/way/177770021,consistent_with_written_location,manual_evidence_required
2336.1,French Meadow Bakery & Cafe,verified,North side of Carnes Ave. between Nelson & Underwood streets,-93.1712263,44.9801274,street_segment,Carnes Avenue between Nelson Street and Underwood Street,26.5,,,French Meadow Bakery & Cafe,exact_named_place,2.3,https://www.openstreetmap.org/way/177770139,manual_review_15_to_30m,retain_verified
2340.1,Fresh French Fries,approximate,At Mighty Midway,-93.175131979,44.9802207234,named_place_or_building,Midway Lot,30.8,,,Fresh French Fries,ambiguous_vendor_identity,0.0,https://www.openstreetmap.org/way/177770115,reject_over_30m,keep_withheld_priority_review
2340.2,Fresh French Fries,approximate,North side of Judson Ave. between Nelson & Underwood streets,-93.1711875,44.9788125,street_segment,Judson Avenue between Nelson Street and Underwood Street,26.1,,,Fresh French Fries,ambiguous_vendor_identity,0.0,https://www.openstreetmap.org/way/177770104,manual_review_15_to_30m,manual_evidence_required
2387.1,Fresh Lemonade - Cheese on a Stick,approximate,West side of Nelson St. between Dan Patch & Carnes avenues,-93.1719316289,44.9811464,street_segment,Nelson Street between Dan Patch Avenue and Carnes Avenue,8.9,,,Nelson Cheese & Deli,no_named_place_match,624.8,https://www.openstreetmap.org/way/130819068,consistent_with_written_location,manual_evidence_required
217.1,Fresh Made Nut Rolls,approximate,Northeast corner of Dan Patch Ave. & Underwood St.,-93.1703990568,44.981214532,street_corner,Dan Patch Avenue & Underwood Street,14.1,,,,no_named_place_match,,,consistent_with_written_location,manual_evidence_required
244.2,"Fresh Squeezed Lemonade, Fruit Smoothies, Fresh Squeezed Orange Treet & Strawberry Treet",approximate,"Outside the Food Building, southwest side",-93.1700195,44.9799882,named_place_or_building,Food Building,7.3,,,,no_named_place_match,,,consistent_with_written_location,manual_evidence_required
2342.1,Fried Olives On A Stick,approximate,West of Nelson St. just south of the Grandstand,-93.172095979487,44.979873904664,street_corridor,Nelson Street,0.1,,,Math On-A-Stick,no_named_place_match,562.9,https://www.openstreetmap.org/node/9066981317,consistent_with_written_location,manual_evidence_required
2348.1,The Frontier,verified,South side of Carnes Ave. between Liggett & Chambers streets,-93.1747221,44.9797269,street_segment,Carnes Avenue between Liggett Street and Chambers Street,16.0,,,,no_named_place_match,,,manual_review_15_to_30m,retain_verified
2359.1,Funnel Cakes,approximate,"In the Food Building, east wall",-93.1694229107,44.9805211,named_place_or_building,Food Building,2.8,,,,no_named_place_match,,,consistent_with_written_location,manual_evidence_required
2247.1,Funnel Cakes,approximate,North side of Dan Patch Ave. between Nelson & Underwood streets,-93.1704753427,44.9812055388,street_segment,Dan Patch Avenue between Nelson Street and Underwood Street,9.8,,,,no_named_place_match,,,consistent_with_written_location,manual_evidence_required
2029.2,Funnel Cakes,approximate,"South side of Judson Ave. between Nelson & Underwood streets, at Adventure Park",-93.1708435804,44.9784915791,street_segment,Judson Avenue between Nelson Street and Underwood Street,9.0,Adventure Park,335.8,,no_named_place_match,,,consistent_with_written_location,manual_evidence_required
2196.1,Galaxy of Drinks,approximate,"West side of Liggett St., just south of Mighty Midway",-93.1803267773,44.9799615,named_place_or_building,Midway Lot,27.8,,,,no_named_place_match,,,manual_review_15_to_30m,manual_evidence_required
2375.1,Gass Station Grill,approximate,"West side of Cooper St. between Dan Patch & Judson avenues, outside southeast corner of the Food Building",-93.169415603846,44.980195956835,street_corner,Cooper Street & Dan Patch Avenue,104.3,Food Building,0.6,,no_named_place_match,,,manual_review_conflicting_constraints,manual_evidence_required
3255.1,German Root Beer and Popcorn,approximate,East of Chambers St. just south of the Grandstand,-93.1742269973,44.9800221197,street_corridor,Chambers Street,9.0,,,Corn,no_named_place_match,663.1,https://www.openstreetmap.org/node/12148877487,consistent_with_written_location,manual_evidence_required
10093.1,Giggles' Campfire Grill,verified,Southeast corner of Lee Ave. & Cooper St. at The North Woods,-93.1688586,44.9856224,street_corner,Lee Avenue & Cooper Street,28.0,,,Giggles' Campfire Grille,no_named_place_match,,https://www.openstreetmap.org/relation/20750347,manual_review_15_to_30m,retain_verified
2527.1,Goertzes Dairy Kone,approximate,"East side of Cooper St., next to the Merch Market",-93.168621988,44.980762,named_place_or_building,Merchandise Mart,0.0,,,,no_named_place_match,,,consistent_with_written_location,manual_evidence_required
10990.1,Gopher Dairy Bar,approximate,South side of Judson Ave. between Stevens & Liggett streets,-93.1753553,44.9784880612,street_segment,Judson Avenue between Stevens Street and Liggett Street,9.0,,,MN GOP,no_named_place_match,346.5,https://www.openstreetmap.org/way/177770037,consistent_with_written_location,manual_evidence_required
2415.1,Grandstand Mini Donuts,approximate,"East of Chambers St., just south of the Grandstand",-93.1742625711,44.9806069612,street_corridor,Chambers Street,6.5,,,Grandstand Seating,no_named_place_match,85.2,https://www.openstreetmap.org/way/773873153,consistent_with_written_location,manual_evidence_required
11704.1,Granny's Apples + Lemonade,approximate,"In the Food Building, west wall",-93.1703125,44.9803125,named_place_or_building,Food Building,0.0,,,,no_named_place_match,,,consistent_with_written_location,manual_evidence_required
2417.1,Granny's Cheesecake & More,approximate,North side of Dan Patch Ave. between Nelson & Underwood streets,-93.1705262,44.9812415116,street_segment,Dan Patch Avenue between Nelson Street and Underwood Street,13.0,,,Nelson Cheese & Deli,no_named_place_match,560.6,https://www.openstreetmap.org/way/130819068,consistent_with_written_location,manual_evidence_required
10347.1,Greater Tater,verified,"West side of Liggett St. between Carnes & Judson avenues, outside the Horse Barn",-93.1756477,44.9792492,street_segment,Liggett Street between Carnes Avenue and Judson Avenue,22.1,Horse Barn,0.0,,no_named_place_match,,,manual_review_15_to_30m,retain_verified
2437.1,Green Mill,verified,"East side of Cooper St. between Randall & Wright avenues, at Family Fair at Baldwin Park",-93.1688826,44.9841057,street_segment,Cooper Street between Randall Avenue and Wright Avenue,18.0,Baldwin Park,5.4,Ye Old Mill,no_named_place_match,505.4,https://www.openstreetmap.org/way/164878263,manual_review_15_to_30m,retain_verified
2447.1,Gyros by G&G Concessions,approximate,Northeast corner of Lee Ave. & Underwood St.,-93.1703278568,44.985919032,street_corner,Lee Avenue & Underwood Street,14.1,,,,no_named_place_match,,,consistent_with_written_location,manual_evidence_required
