batch_position,id,name,outcome,old_coordinates,new_coordinates,delta_m,reason,official_url,independent_url,reviewed_on
45,2708.1,Luigi Fries,insufficient_evidence,,,0,No record-specific public-map coordinate both matched the vendor identity and the fair's written location; the conflicting source candidate stays withheld.,https://www.mnstatefair.org/vendor/2708.1,,2026-08-29
46,2673.1,Luther Auto Pit Stop,insufficient_evidence,,,0,Public-map search did not expose a second record-specific booth coordinate; the geometry-consistent candidate stays withheld.,https://www.mnstatefair.org/vendor/2673.1,,2026-08-29
47,2719.1,Lynn's Lefse,insufficient_evidence,,,0,No record-specific public-map coordinate both matched the vendor identity and the fair's written location; the conflicting source candidate stays withheld.,https://www.mnstatefair.org/vendor/2719.1,,2026-08-29
48,2727.1,Mac's Grille,insufficient_evidence,,,0,Public-map search did not expose a second record-specific booth coordinate; the geometry-consistent candidate stays withheld.,https://www.mnstatefair.org/vendor/2727.1,,2026-08-29
49,2737.1,Manny's Tortas,insufficient_evidence,,,0,"Search resolved the off-site Manny's Tortas business, not its fair booth; the fair candidate stays withheld.",https://www.mnstatefair.org/vendor/2737.1,,2026-08-29
50,2743.1,Mario's,insufficient_evidence,,,0,No record-specific public-map coordinate both matched the vendor identity and the fair's written location; the conflicting source candidate stays withheld.,https://www.mnstatefair.org/vendor/2743.1,,2026-08-29
51,2764.2,Midtown Global Market's El Taco Torro,candidate_improved_keep_withheld,-93.169702040007 44.979363825076,-93.1685625 44.9780625,170.2,Exact El Taco Torro panel moves the candidate to the International Bazaar; the shared east-wall booth still needs field confirmation.,https://www.mnstatefair.org/vendor/2764.2,https://www.google.com/maps/search/?api=1&query=El%20Taco%20Torro%20Minnesota%20State%20Fair,2026-08-29
52,2764.1,Midtown Global Market's Irie Jamaican Express,insufficient_evidence,,,0,"Search resolved the off-site Irie Jamaican Express listing, not the shared fair booth; the fair candidate stays withheld.",https://www.mnstatefair.org/vendor/2764.1,,2026-08-29
53,2780.1,Mini Melts/Wonder Bar,insufficient_evidence,,,0,Public-map search did not expose a second record-specific booth coordinate; the geometry-consistent candidate stays withheld.,https://www.mnstatefair.org/vendor/2780.1,,2026-08-29
54,2784.1,Minnesnowii Shave Ice,insufficient_evidence,,,0,No record-specific public-map coordinate both matched the vendor identity and the fair's written location; the conflicting source candidate stays withheld.,https://www.mnstatefair.org/vendor/2784.1,,2026-08-29
55,2838.1,Minnesota Apples,insufficient_evidence,,,0,Public-map search did not expose a second record-specific booth coordinate; the geometry-consistent candidate stays withheld.,https://www.mnstatefair.org/vendor/2838.1,,2026-08-29
56,2649.1,Minnesota Craft Brewers Guild,candidate_improved_keep_withheld,-93.169644785256 44.980053087692,-93.1703125 44.9793125,97.7,Exact Craft Brewer's Guild panel moves the candidate into the Agriculture Horticulture Building; west-side booth precision remains unconfirmed.,https://www.mnstatefair.org/vendor/2649.1,https://www.google.com/maps/search/?api=1&query=Minnesota%20Craft%20Brewers%20Guild%20Minnesota%20State%20Fair,2026-08-29
57,2886.1,Minnesota Honey Producers Association,insufficient_evidence,,,0,Public-map search did not expose a second record-specific booth coordinate; the geometry-consistent candidate stays withheld.,https://www.mnstatefair.org/vendor/2886.1,,2026-08-29
58,11206.1,Minnesota's Original Apple Fries,rejected_conflicting_public_map_candidate,,,0,The exact Apple Fries result is 82.4 m from the preserved candidate and 33.5 m outside the modeled current segment; rejected as unsafe or stale.,https://www.mnstatefair.org/vendor/11206.1,https://www.google.com/maps/search/?api=1&query=Minnesota%27s%20Original%20Apple%20Fries%20Minnesota%20State%20Fair,2026-08-29
59,3645.1,The Mouth Trap Cheese Curds,candidate_corroborated_keep_withheld,,,0,The current Mouth Trap candidate is 6.7 m from the exact Google plus-code cell center and inside the Food Building; a second booth coordinate is still absent.,https://www.mnstatefair.org/vendor/3645.1,https://www.google.com/maps/search/?api=1&query=The%20Mouth%20Trap%20Minnesota%20State%20Fair,2026-08-29
60,4057.1,Mr. E's Drink Time,insufficient_evidence,,,0,No record-specific public-map coordinate both matched the vendor identity and the fair's written location; the conflicting source candidate stays withheld.,https://www.mnstatefair.org/vendor/4057.1,,2026-08-29
61,5827.1,Nautical Bowls,insufficient_evidence,,,0,Public-map search did not expose a second record-specific booth coordinate; the 15-30 m candidate stays withheld for field review.,https://www.mnstatefair.org/vendor/5827.1,,2026-08-29
62,2941.2,Netterfield's Popcorn Stand,insufficient_evidence,,,0,Public-map search did not expose a second record-specific booth coordinate; the 15-30 m candidate stays withheld for field review.,https://www.mnstatefair.org/vendor/2941.2,,2026-08-29
63,2953.1,Nitro Ice Cream,insufficient_evidence,,,0,No record-specific public-map coordinate both matched the vendor identity and the fair's written location; the conflicting source candidate stays withheld.,https://www.mnstatefair.org/vendor/2953.1,,2026-08-29
64,3759.2,Ollie's Crab Fritters,insufficient_evidence,,,0,No record-specific public-map coordinate both matched the vendor identity and the fair's written location; the conflicting source candidate stays withheld.,https://www.mnstatefair.org/vendor/3759.2,,2026-08-29
65,2991.1,Oodles of Noodles,insufficient_evidence,,,0,No record-specific public-map coordinate both matched the vendor identity and the fair's written location; the conflicting source candidate stays withheld.,https://www.mnstatefair.org/vendor/2991.1,,2026-08-29
66,3008.1,Oven Fresh Brownies,candidate_added_keep_withheld,quarantined -93.170647888462 44.981432429011,-93.1694537 44.9809635,107.4,Exact Oven Fresh Brownies pin supplies a candidate near the written corner; the original peer-conflicting point remains quarantined.,https://www.mnstatefair.org/vendor/3008.1,https://www.google.com/maps/place/Oven+Fresh+Brownies/data=!4m7!3m6!1s0x52b32b51e643946f:0xd06652d0d4a2f95e!8m2!3d44.9809635!4d-93.1694537,2026-08-29
67,3020.1,Panda Palace,insufficient_evidence,,,0,No record-specific public-map coordinate both matched the vendor identity and the fair's written location; the conflicting source candidate stays withheld.,https://www.mnstatefair.org/vendor/3020.1,,2026-08-29
68,246.1,Peters Hot Dogs,insufficient_evidence,,,0,No record-specific public-map coordinate both matched the vendor identity and the fair's written location; the conflicting source candidate stays withheld.,https://www.mnstatefair.org/vendor/246.1,,2026-08-29
69,3052.1,Peters Hot Dogs,insufficient_evidence,,,0,No record-specific public-map coordinate both matched the vendor identity and the fair's written location; the conflicting source candidate stays withheld.,https://www.mnstatefair.org/vendor/3052.1,,2026-08-29
70,5910.1,Pickle Barrel Sirloin Tips,insufficient_evidence,,,0,"Public-map search returned no booth-level coordinate that safely resolves this indoor, zone-only, or source-missing record.",https://www.mnstatefair.org/vendor/5910.1,,2026-08-29
71,3066.1,Pizza Wagon,insufficient_evidence,,,0,Public-map search did not expose a second record-specific booth coordinate; the geometry-consistent candidate stays withheld.,https://www.mnstatefair.org/vendor/3066.1,,2026-08-29
72,3079.2,Poncho Dogs,insufficient_evidence,,,0,No record-specific public-map coordinate both matched the vendor identity and the fair's written location; the conflicting source candidate stays withheld.,https://www.mnstatefair.org/vendor/3079.2,,2026-08-29
73,3107.1,Pronto Pups,insufficient_evidence,,,0,Public-map search did not expose a second record-specific booth coordinate; the 15-30 m candidate stays withheld for field review.,https://www.mnstatefair.org/vendor/3107.1,,2026-08-29
74,3109.1,Pronto Pups,insufficient_evidence,,,0,Public-map results did not resolve the conflicting street and landmark constraints; the candidate stays withheld.,https://www.mnstatefair.org/vendor/3109.1,,2026-08-29
75,3115.1,Pronto Pups,insufficient_evidence,,,0,"Public-map search returned no booth-level coordinate that safely resolves this indoor, zone-only, or source-missing record.",https://www.mnstatefair.org/vendor/3115.1,,2026-08-29
76,1416.2,Pryes Brewing Pavilion,insufficient_evidence,,,0,"Search resolved the off-site Pryes brewery, not the West End fair pavilion; the fair candidate stays withheld.",https://www.mnstatefair.org/vendor/1416.2,,2026-08-29
77,4150.1,Quench’d: Lemonade/Bottled Water,insufficient_evidence,,,0,Public-map search did not expose a second record-specific booth coordinate; the geometry-consistent candidate stays withheld.,https://www.mnstatefair.org/vendor/4150.1,,2026-08-29
78,3759.1,Quesadilla Junction,rejected_conflicting_public_map_candidate,,,0,The exact Quesadilla Junction result is about 60 m outside the current Murphy-to-Lee segment; rejected as stale or mismatched.,https://www.mnstatefair.org/vendor/3759.1,https://www.google.com/maps/search/?api=1&query=Quesadilla%20Junction%20Minnesota%20State%20Fair,2026-08-29
79,2529.1,R&R Ice Cream,insufficient_evidence,,,0,Public-map search did not expose a second record-specific booth coordinate; the 15-30 m candidate stays withheld for field review.,https://www.mnstatefair.org/vendor/2529.1,,2026-08-29
80,3131.1,Ragin Cajun,insufficient_evidence,,,0,No record-specific public-map coordinate both matched the vendor identity and the fair's written location; the conflicting source candidate stays withheld.,https://www.mnstatefair.org/vendor/3131.1,,2026-08-29
81,5275.1,Richie's Cheese Curd Tacos,insufficient_evidence,,,0,No record-specific public-map coordinate both matched the vendor identity and the fair's written location; the conflicting source candidate stays withheld.,https://www.mnstatefair.org/vendor/5275.1,,2026-08-29
82,5754.3,Funnel Cakes & Elephant Ears,insufficient_evidence,,,0,Public-map search did not expose a second record-specific booth coordinate; the geometry-consistent candidate stays withheld.,https://www.mnstatefair.org/vendor/5754.3,,2026-08-29
83,792.1,Rooted & Wild by Snack House,insufficient_evidence,,,0,Public-map search did not expose a second record-specific booth coordinate; the geometry-consistent candidate stays withheld.,https://www.mnstatefair.org/vendor/792.1,,2026-08-29
84,3766.1,Route 66 Roadhouse Chicken,insufficient_evidence,,,0,Public-map search did not expose a second record-specific booth coordinate; the geometry-consistent candidate stays withheld.,https://www.mnstatefair.org/vendor/3766.1,,2026-08-29
85,792.2,Sabino's Pizza Pies,insufficient_evidence,,,0,No record-specific public-map coordinate both matched the vendor identity and the fair's written location; the conflicting source candidate stays withheld.,https://www.mnstatefair.org/vendor/792.2,,2026-08-29
86,10369.1,Sadies Classics Frozen Custard,insufficient_evidence,,,0,No record-specific public-map coordinate both matched the vendor identity and the fair's written location; the conflicting source candidate stays withheld.,https://www.mnstatefair.org/vendor/10369.1,,2026-08-29
87,1288.1,Sara's Tipsy Pies,insufficient_evidence,,,0,Public-map search did not expose a second record-specific booth coordinate; the geometry-consistent candidate stays withheld.,https://www.mnstatefair.org/vendor/1288.1,,2026-08-29
88,9531.1,Saturday Dumpling Co.,candidate_improved_keep_withheld,-93.168427871154 44.979787928835,-93.170135 44.9801902,141.5,Exact Saturday Dumpling Co pin moves the candidate into the Food Building; east-wall booth precision remains unconfirmed.,https://www.mnstatefair.org/vendor/9531.1,https://www.google.com/maps/place/Saturday+Dumpling+Co/data=!4m7!3m6!1s0x52b32b0043fd295b:0x7fd33c9c06af4720!8m2!3d44.9801902!4d-93.170135,2026-08-29
89,3247.1,Sausage by Cynthia,candidate_improved_keep_withheld,-93.17310056791 44.977866724026,-93.1719236 44.9786289,125.5,Exact Sausage by Cynthia pin is 4.4 m from the written Judson segment and replaces the conflicting source candidate.,https://www.mnstatefair.org/vendor/3247.1,https://www.google.com/maps/place/Sausage+by+Cynthia/data=!4m7!3m6!1s0x52b32b005979bc99:0xc0fb2db6611c34e8!8m2!3d44.9786289!4d-93.1719236,2026-08-29
90,12916.1,Sausage Sister & Me,ambiguous_inside_shared_building,,,0,Exact Sausage Sister result is 26.0 m from the current Food Building candidate; both fit the shared building and neither resolves the east-wall booth.,https://www.mnstatefair.org/vendor/12916.1,,2026-08-29
91,3769.1,Scotch Eggs,insufficient_evidence,,,0,Public-map search did not expose a second record-specific booth coordinate; the geometry-consistent candidate stays withheld.,https://www.mnstatefair.org/vendor/3769.1,,2026-08-29
92,215.1,Simply Nuts & More,insufficient_evidence,,,0,Public-map search did not expose a second record-specific booth coordinate; the geometry-consistent candidate stays withheld.,https://www.mnstatefair.org/vendor/215.1,,2026-08-29
93,5581.1,Smoothies,insufficient_evidence,,,0,Public-map search did not expose a second record-specific booth coordinate; the 15-30 m candidate stays withheld for field review.,https://www.mnstatefair.org/vendor/5581.1,,2026-08-29
94,3332.1,Sonny's Fair Food,insufficient_evidence,,,0,No record-specific public-map coordinate both matched the vendor identity and the fair's written location; the conflicting source candidate stays withheld.,https://www.mnstatefair.org/vendor/3332.1,,2026-08-29
95,5799.1,Soul Bowl,insufficient_evidence,,,0,No record-specific public-map coordinate both matched the vendor identity and the fair's written location; the conflicting source candidate stays withheld.,https://www.mnstatefair.org/vendor/5799.1,,2026-08-29
96,8073.1,SPAM,insufficient_evidence,,,0,No record-specific public-map coordinate both matched the vendor identity and the fair's written location; the conflicting source candidate stays withheld.,https://www.mnstatefair.org/vendor/8073.1,,2026-08-29
97,5175.1,Spinning Wylde,insufficient_evidence,,,0,"Search resolved the off-site Spinning Wylde business, not its Baldwin Park fair booth; the fair candidate stays withheld.",https://www.mnstatefair.org/vendor/5175.1,,2026-08-29
98,257.1,Steichen's Grocery & Deli,insufficient_evidence,,,0,Public-map search did not expose a second record-specific booth coordinate; the geometry-consistent candidate stays withheld.,https://www.mnstatefair.org/vendor/257.1,,2026-08-29
99,3394.1,Sugar Shack,insufficient_evidence,,,0,Public-map search did not expose a second record-specific booth coordinate; the geometry-consistent candidate stays withheld.,https://www.mnstatefair.org/vendor/3394.1,,2026-08-29
100,3408.1,Super Dog,insufficient_evidence,,,0,No record-specific public-map coordinate both matched the vendor identity and the fair's written location; the conflicting source candidate stays withheld.,https://www.mnstatefair.org/vendor/3408.1,,2026-08-29
101,3412.1,Sweet & Sour USA,insufficient_evidence,,,0,No record-specific public-map coordinate both matched the vendor identity and the fair's written location; the conflicting source candidate stays withheld.,https://www.mnstatefair.org/vendor/3412.1,,2026-08-29
102,2079.1,Sweet Martha's Cookie Jar,insufficient_evidence,,,0,"Search resolved the already-verified Carnes Avenue Sweet Martha's stand, not this West Dan Patch record; the candidate stays withheld.",https://www.mnstatefair.org/vendor/2079.1,,2026-08-29
103,8535.1,Tasti Whip,insufficient_evidence,,,0,Public-map search did not expose a second record-specific booth coordinate; the 15-30 m candidate stays withheld for field review.,https://www.mnstatefair.org/vendor/8535.1,,2026-08-29
104,5581.2,Taulelle's Jurassic Corn Dogs,insufficient_evidence,,,0,Public-map search did not expose a second record-specific booth coordinate; the 15-30 m candidate stays withheld for field review.,https://www.mnstatefair.org/vendor/5581.2,,2026-08-29
105,3436.1,Tejas Express,insufficient_evidence,,,0,No record-specific public-map coordinate both matched the vendor identity and the fair's written location; the conflicting source candidate stays withheld.,https://www.mnstatefair.org/vendor/3436.1,,2026-08-29
106,1948.1,Tino's Pizza on a Stick,insufficient_evidence,,,0,No record-specific public-map coordinate both matched the vendor identity and the fair's written location; the conflicting source candidate stays withheld.,https://www.mnstatefair.org/vendor/1948.1,,2026-08-29
107,1511.1,Tom Thumb Mini Donuts,insufficient_evidence,,,0,Public-map search did not expose a second record-specific booth coordinate; the 15-30 m candidate stays withheld for field review.,https://www.mnstatefair.org/vendor/1511.1,,2026-08-29
108,266.1,Tot Boss,insufficient_evidence,,,0,Public-map results did not resolve the conflicting street and landmark constraints; the candidate stays withheld.,https://www.mnstatefair.org/vendor/266.1,,2026-08-29
109,9613.1,Two Rivers Kettle Korn,rejected_ambiguous_public_map_candidate,,,0,The exact Two Rivers result is 156.2 m from the southeast West End candidate and does not resolve the venue section; preserved candidate stays withheld.,https://www.mnstatefair.org/vendor/9613.1,https://www.google.com/maps/place/Two+Rivers+Kettle+Korn/data=!4m7!3m6!1s0x52b32b62ac52b9e9:0x3a2a35a336c83a45!8m2!3d44.9809174!4d-93.1763554,2026-08-29
110,11221.1,Urban Glow Mocktails,insufficient_evidence,,,0,Public-map search did not expose a second record-specific booth coordinate; the geometry-consistent candidate stays withheld.,https://www.mnstatefair.org/vendor/11221.1,,2026-08-29
111,5609.1,Waffle Chix,insufficient_evidence,,,0,No record-specific public-map coordinate both matched the vendor identity and the fair's written location; the conflicting source candidate stays withheld.,https://www.mnstatefair.org/vendor/5609.1,,2026-08-29
112,3549.1,Waffle Cones,insufficient_evidence,,,0,No record-specific public-map coordinate both matched the vendor identity and the fair's written location; the conflicting source candidate stays withheld.,https://www.mnstatefair.org/vendor/3549.1,,2026-08-29
113,3553.1,Walleye On a Stick,insufficient_evidence,,,0,No record-specific public-map coordinate both matched the vendor identity and the fair's written location; the conflicting source candidate stays withheld.,https://www.mnstatefair.org/vendor/3553.1,,2026-08-29
114,3567.1,West End Creamery,insufficient_evidence,,,0,"Public-map search returned no booth-level coordinate that safely resolves this indoor, zone-only, or source-missing record.",https://www.mnstatefair.org/vendor/3567.1,,2026-08-29
115,1286.1,West Indies Soul Food,insufficient_evidence,,,0,No record-specific public-map coordinate both matched the vendor identity and the fair's written location; the conflicting source candidate stays withheld.,https://www.mnstatefair.org/vendor/1286.1,,2026-08-29
116,4872.1,Westmoreland Concessions,insufficient_evidence,,,0,No record-specific public-map coordinate both matched the vendor identity and the fair's written location; the conflicting source candidate stays withheld.,https://www.mnstatefair.org/vendor/4872.1,,2026-08-29
117,10572.1,Wild Rice Specialties,insufficient_evidence,,,0,Public-map search did not expose a second record-specific booth coordinate; the 15-30 m candidate stays withheld for field review.,https://www.mnstatefair.org/vendor/10572.1,,2026-08-29
118,6202.1,Wow Fudge,insufficient_evidence,,,0,No record-specific public-map coordinate both matched the vendor identity and the fair's written location; the conflicting source candidate stays withheld.,https://www.mnstatefair.org/vendor/6202.1,,2026-08-29
