batch_position,id,name,outcome,old_coordinates,new_coordinates,delta_m,reason,official_url,independent_url,reviewed_on
15,5733.2,Bridge N' Barrel Root Beer,insufficient_evidence,,,0,"Five same-name fair records and no record-specific independent booth pin; unsafe to collapse locations.",https://www.mnstatefair.org/vendor/5733.2/,,2026-08-29
16,5733.3,Bridge N' Barrel Root Beer,insufficient_evidence,,,0,"Five same-name fair records and no record-specific independent booth pin; unsafe to collapse locations.",https://www.mnstatefair.org/vendor/5733.3/,,2026-08-29
17,5733.5,Bridge N' Barrel Root Beer,insufficient_evidence,,,0,"Five same-name fair records and no record-specific independent booth pin; unsafe to collapse locations.",https://www.mnstatefair.org/vendor/5733.5/,,2026-08-29
18,1996.1,Bridgeman's Ice Cream,insufficient_evidence,,,0,"Search returned off-site or closed businesses, not a record-specific fair booth.",https://www.mnstatefair.org/vendor/1996.1/,,2026-08-29
19,2005.1,Buni's,insufficient_evidence,,,0,"No exact fairgrounds place or independent booth address was found.",https://www.mnstatefair.org/vendor/2005.1/,,2026-08-29
20,2031.1,Caramel Apple Sundae,insufficient_evidence,,,0,"Exact-place search returned fair venues and other vendors, not this booth.",https://www.mnstatefair.org/vendor/2031.1/,https://www.google.com/maps/search/Caramel%20Apple%20Sundae%20Minnesota%20State%20Fair,2026-08-29
21,2037.1,Caribbean Smoothees,insufficient_evidence,,,0,"Exact-place search resolved Cafe Caribe and fair venues, not Caribbean Smoothees.",https://www.mnstatefair.org/vendor/2037.1/,https://www.google.com/maps/search/Caribbean%20Smoothees%20Minnesota%20State%20Fair,2026-08-29
22,2065.1,Chan's Chicken On A Stick,insufficient_evidence,,,0,"Exact-place search returned unrelated fair vendors and off-site businesses.",https://www.mnstatefair.org/vendor/2065.1/,https://www.google.com/maps/search/Chan%27s%20Chicken%20On%20A%20Stick%20Minnesota%20State%20Fair,2026-08-29
23,9238.1,Chan's Eatery,insufficient_evidence,,,0,"Search collapsed to the Food Building; no booth-level independent coordinate was exposed.",https://www.mnstatefair.org/vendor/9238.1/,https://www.google.com/maps/search/Chan%27s%20Eatery%20Minnesota%20State%20Fair,2026-08-29
24,2069.2,Crutchees Cheese on a Stick,insufficient_evidence,,,0,"Search returned the fairgrounds and other vendors; no exact Crutchees place was found.",https://www.mnstatefair.org/vendor/2069.2/,https://www.google.com/maps/search/Crutchees%20Cheese%20on%20a%20Stick%20Minnesota%20State%20Fair,2026-08-29
25,2192.1,Deep Fried Candy Bars,insufficient_evidence,,,0,"Generic product search returned venues and other booths, not this record.",https://www.mnstatefair.org/vendor/2192.1/,https://www.google.com/maps/search/Deep%20Fried%20Candy%20Bars%20Minnesota%20State%20Fair,2026-08-29
26,2198.1,Demetri's Fine Greek Foods,insufficient_evidence,,,0,"Search returned the Food Building and unrelated vendors, not an exact Demetri's booth.",https://www.mnstatefair.org/vendor/2198.1/,https://www.google.com/maps/search/Demetri%27s%20Fine%20Greek%20Foods%20Minnesota%20State%20Fair,2026-08-29
27,265.1,Duke's Poutine,insufficient_evidence,,,0,"No exact fairgrounds place or independent booth address was found.",https://www.mnstatefair.org/vendor/265.1/,,2026-08-29
28,226.1,El Sol Mexican Foods,insufficient_evidence,,,0,"Search returned the Food Building and off-site Mexican restaurants, not this booth.",https://www.mnstatefair.org/vendor/226.1/,https://www.google.com/maps/search/El%20Sol%20Mexican%20Foods%20Minnesota%20State%20Fair,2026-08-29
29,2332.1,French Creperie,insufficient_evidence,,,0,"A differently named Food Building result conflicted with the official north-Carnes location; unsafe to reuse.",https://www.mnstatefair.org/vendor/2332.1/,https://www.google.com/maps/search/French%20Creperie%20Minnesota%20State%20Fair,2026-08-29
30,2387.1,Fresh Lemonade - Cheese on a Stick,insufficient_evidence,,,0,"Search returned venues and unrelated fry stands, not this product-name booth.",https://www.mnstatefair.org/vendor/2387.1/,https://www.google.com/maps/search/Fresh%20Lemonade%20Cheese%20on%20a%20Stick%20Minnesota%20State%20Fair,2026-08-29
31,244.2,"Fresh Squeezed Lemonade, Fruit Smoothies, Fresh Squeezed Orange Treet & Strawberry Treet",insufficient_evidence,,,0,"Generic product listing has no record-specific independent booth pin.",https://www.mnstatefair.org/vendor/244.2/,,2026-08-29
32,2029.2,Funnel Cakes,insufficient_evidence,,,0,"Multiple generic funnel-cake records and no record-specific independent booth pin.",https://www.mnstatefair.org/vendor/2029.2/,,2026-08-29
33,2247.1,Funnel Cakes,insufficient_evidence,,,0,"Multiple generic funnel-cake records and no record-specific independent booth pin.",https://www.mnstatefair.org/vendor/2247.1/,,2026-08-29
34,2196.1,Galaxy of Drinks,insufficient_evidence,,,0,"Search returned the fairgrounds and unrelated venues or businesses, not this booth.",https://www.mnstatefair.org/vendor/2196.1/,https://www.google.com/maps/search/Galaxy%20of%20Drinks%20Minnesota%20State%20Fair,2026-08-29
35,2527.1,Goertzes Dairy Kone,insufficient_evidence,,,0,"Search returned the Dairy Building and unrelated vendors, not an exact booth.",https://www.mnstatefair.org/vendor/2527.1/,https://www.google.com/maps/search/Goertzes%20Dairy%20Kone%20Minnesota%20State%20Fair,2026-08-29
36,2417.1,Granny's Cheesecake & More,insufficient_evidence,,,0,"Search resolved Granny's Apples + Lemonade and other vendors, not this booth.",https://www.mnstatefair.org/vendor/2417.1/,https://www.google.com/maps/search/Granny%27s%20Cheesecake%20and%20More%20Minnesota%20State%20Fair,2026-08-29
37,2437.1,Green Mill,verified_corrected,"-93.167815325 44.984935836282","-93.1688826 44.9841057",124.9,"Exact Green Mill State Fair Pizza Truck pin matches the official Family Fair at Baldwin Park corridor.",https://www.mnstatefair.org/vendor/2437.1/,https://www.google.com/maps/place/Green+Mill+State+Fair+Pizza+Truck/data=!4m7!3m6!1s0x52b32b6fd7345adf:0x69fbe674134c3a36!8m2!3d44.9841057!4d-93.1688826,2026-08-29
38,2493.1,Henry's Kettle Korn,insufficient_evidence,,,0,"Search returned Corn Roast, Two Rivers Kettle Korn, and other vendors; no exact Henry's booth.",https://www.mnstatefair.org/vendor/2493.1/,https://www.google.com/maps/search/Henry%27s%20Kettle%20Korn%20Minnesota%20State%20Fair,2026-08-29
39,2582.1,Java Jive,verified_corrected,"-93.173462025 44.981376986843","-93.1750625 44.9806875",147.6,"Exact Java Jive listing at 1805 W Dan Patch Ave and its plus code match the official corridor.",https://www.mnstatefair.org/vendor/2582.1/,https://www.google.com/maps/search/?api=1&query=Java%20Jive%201805%20W%20Dan%20Patch%20Ave%20Falcon%20Heights,2026-08-29
40,2122.1,Kathie's Cotton Candy,insufficient_evidence,,,0,"Exact-place search returned fair venues and an unrelated cotton-candy business.",https://www.mnstatefair.org/vendor/2122.1/,https://www.google.com/maps/search/Kathie%27s%20Cotton%20Candy%20Minnesota%20State%20Fair,2026-08-29
41,3699.1,Kora & Mila's Cookie Dough,insufficient_evidence,,,0,"No exact fairgrounds place or independent booth address was found.",https://www.mnstatefair.org/vendor/3699.1/,,2026-08-29
42,2120.1,L & B Cotton Candy,insufficient_evidence,,,0,"Multiple same-name fair records and no record-specific independent booth pin; unsafe to collapse locations.",https://www.mnstatefair.org/vendor/2120.1/,,2026-08-29
43,3386.2,Loon Lake Iced Tea,insufficient_evidence,,,0,"Search resolved an unrelated lake location rather than the fair booth.",https://www.mnstatefair.org/vendor/3386.2/,,2026-08-29
44,9067.1,Lumpia City,insufficient_evidence,,,0,"Search returned fair venues and an off-site Filipino venue, not an exact booth.",https://www.mnstatefair.org/vendor/9067.1/,https://www.google.com/maps/search/Lumpia%20City%20Minnesota%20State%20Fair,2026-08-29
45,10914.1,Magdalena's Chimney Cakes,insufficient_evidence,,,0,"Search returned off-site shops or unrelated fair results, not this booth.",https://www.mnstatefair.org/vendor/10914.1/,,2026-08-29
46,3718.1,Minnekabob,insufficient_evidence,,,0,"No exact fairgrounds place or independent booth address was found.",https://www.mnstatefair.org/vendor/3718.1/,,2026-08-29
47,2941.1,Netterfield's Food Court,insufficient_evidence,,,0,"Search returned the Food Building and unrelated vendors, not an exact Netterfield's place.",https://www.mnstatefair.org/vendor/2941.1/,https://www.google.com/maps/search/Netterfield%27s%20Food%20Court%20Minnesota%20State%20Fair,2026-08-29
48,2987.1,Ole and Lena's,insufficient_evidence,,,0,"No exact fairgrounds place or independent booth address was found.",https://www.mnstatefair.org/vendor/2987.1/,,2026-08-29
49,6268.1,Paella Depot,insufficient_evidence,,,0,"Search resolved an off-site business only; no exact fair booth place was found.",https://www.mnstatefair.org/vendor/6268.1/,,2026-08-29
50,3030.1,Patio Grill,insufficient_evidence,,,0,"Search returned Giggles, The Peg, and other fair venues, not an exact Patio Grill booth.",https://www.mnstatefair.org/vendor/3030.1/,https://www.google.com/maps/search/Patio%20Grill%20Minnesota%20State%20Fair,2026-08-29
